Task,Answer,a,b,c,d,comment,topic,level,tags,deck
John gets up ____ 9 o'clock every day.,2,in,at,on,for,"We use ‘at’ to introduce a time: 1) the time of the day: (an exact time) at five o’clock, at 11.45 / at sunset / (meal times) at lunchtime / at midnight, at night. 2) special days and occasions: at New Year, at Christmas / Lucy met an old friend at her sister’s wedding.",prepositions,1, 95 ,1200 Grammer Tests
Michael is very good ___ chess.,3,of,in,at,for,"It is possible to use 2 prepositions after the adjective ‘good’: ‘at’ or ‘with’. The adjective ‘good’ has some meanings, and we choose the proper preposition depending on the meaning of this adjective:good at – ‘able to do something well’: Bob is pretty good at fixing things.good with – ‘able to deal with someone or something well, or able to use something well’: Gina has always been good with animals",adjective pluse preposition,1, 96 ,1200 Grammer Tests
Nicky always wears __________ .,1,glasses,a glass,glass,glassies,"The word ‘glass’ has some meanings. The plural form of this noun – ‘glasses’ – can have 2 meanings: 1) ‘a piece of equipment with two transparent parts that you wear in front of your eyes to help you see better’ and 2) ‘some containers made of glass that are used for drinking’. In the test sentence we use this word in the 1st meaning, moreover, in this meaning the noun ‘glasses’ is always used in the PLURAL form like some other nouns, e.g. SCISSORS / TROUSERS / EANS / SHORTS / TIGHTS / PYJAMAS. Then, it should be mentioned that there is a collocation ‘wear glasses’: Most children hate having to wear glasses. And in the test sentence we see this collocation that proves our choice.",nouns,1, 97 ,1200 Grammer Tests
We don't have ________ time for it.,4,few,a few,many,much,"Much is used before uncountable nouns. 'Many', 'a few' and 'few' - before countable.","some,any, a lot of , many , much ,etc..",1, 98 ,1200 Grammer Tests
"If I ______ (to read) this book, I ______ (can / to get) a lot of knowledge.",2,will read / can get,read / will be able to get,would read / can get,read / will can get,"The condition part of the sentence is called ‘the if clause’, or sometimes ‘the conditional clause’. The result part of the sentence is known as ‘the result clause’, or sometimes ‘the main clause’.For the test sentence:- condition = reading this book;- result = getting a lot of knowledge.;If we talk about the results of a possible future condition, one we think is likely to happen, we use the first conditional.In the first conditional the if clause describes the future but uses the present tense, not ‘will’ or ‘won’t’.Also we can use the present continuous in the if clause.The result clause takes ‘will’ + ‘infinitive without to’ when we are certain that the result will happen if the condition is met. If we're not certain, we can use modal verbs ‘might’ or ‘can’ in the result clause.Thus, the formula of the first conditional is the following:the if-clause (if + Present simple or Present continuous) + the main clause (Future simple or can/might+ infinitive without 'to').For the test sentence:Can I definitely get a lot of knowledge? No. The condition that leads to getting a lot of knowledge is reading this book, but I might not read this book.",conditionals,1, 99 ,1200 Grammer Tests
"""Bob said: """"Don't disturb me, please"""".""",3,Bob said to me don't disturb him.,Bob asked me didn't disturb him.,Bob asked me not to disturb him.,Bob said to me I disturbed him.,"When we repeat another person’s words, we can use reported speech. When we report another person’s words some time after (s)he said them, we usually use a past tense verb to introduce them, and we change the tense of the verbs as well. We usually change pronouns and time and place words in reported speech: e.g. ‘me’ changes to ‘him’ or ‘her’.We can report positive or negative advice, requests, orders and instructions. In the test sentence we see a negative request. We usually report requests with ‘ask’ or strong requests with ‘beg’. We report negative instructions, requests, advice or orders with verb + not + infinitive with ‘to’. So, we put ‘not’BEFORE the infinitive with ‘to’. Therefore, in the test we need to choose answer 3.",reported speech,1, 100 ,1200 Grammer Tests
Choose the sentence with the right word order,2,I can to the swimming pool go with you.,I can go to the swimming pool with you.,Can I go to the swimming pool with you.,To the swimming pool can I go with you.,"There is a certain word order in statements with a modal verb: Subject - Modal Verb - Verb - Object. 'I' is a subject, 'can' - a modal verb, 'go' - a verb, ' to the swimming pool with you' - an object.",word order,1, 101 ,1200 Grammer Tests
Charles Dickens was _ famous English writer.,1,a,an,the,—,"We use the indefinite articles ‘a/an’ to say what someone is or what job they do: My brother George is an artist. We use ‘a’ when the noun we are referring to begins with a consonant (b, c, d, f, g, h, j, k, l, m, n, p, q, r, s, t, v, w, x, y or z), for example, ‘a worker’, ‘a teacher’, and ‘a student’. We use ‘an’ when the noun we are referring to begins with a vowel (a, e, i, o, u), for example, ‘an accountant’.",articles,1, 102 ,1200 Grammer Tests
I ____________ (never / to be) to Spain.,3,was never,am never being,have never been,am never,"When we talk about a period of time that continues from the past until now, we use the Present Perfect (have been). Been (to) = visited. Thus, the test sentence means that ‘I have never visited Spain’.",present tenses,1, 103 ,1200 Grammer Tests
Albert Einstein _____________ (to publish) a paper on the general theory of relativity in 1916.,4,was publishing,had published,has published,published,We use the Past Simple Tense when we talk about actions which happened at a certain time in the past. Here: in 1916.,past tenses,1, 104 ,1200 Grammer Tests
"Mike, can you help me? — Well, it's a difficult situation but I _________ (to see) what I can do for you.",3,am seeing,am going to see,will see,see,"We use the Future Simple when we decide to do something at the time of speaking – something that we didn't plan. In the test sentence we see the immediate reply to the request ‘Mike, can you help me?’, and the respondent decides to consider the possible help at the time of replying, but he didn't plan to do it.",future tenses,1, 105 ,1200 Grammer Tests
Many buildings _____________ (to destroy) by the Great Fire in London in 1666.,4,had been destroyed,are destroyed,destroyed,were destroyed,"When we use a passive verb, we say what happens to the subject. In the test sentence the subject is ‘Many buildings’. The formula of the passive voice is ‘be (is/was etc.) + past participle (done/cleaned/seen etc.)’. If we want to say who does or what causes the action, we use ‘by’. In the test sentence the Great Fire caused the action: ‘by the Great Fire’. Here the Past Simple Passive should be used, because we have the certain date in the past – 1666.",passive voice,1, 106 ,1200 Grammer Tests
"I must be at work at 9 o'clock every day. So, I ________________ wake up at 7 a.m.",4,can,may,might,have to,"We use the modal verb 'have to' to express certainty, necessity, obligation and annoyance. In the test sentence we see the meaning of obligation. When we use the modal verb ‘have to’ in this meaning, this usually means that some external circumstance makes the obligation necessary.",modal verbs,1, 107 ,1200 Grammer Tests
I don't like this old wardrobe. I'm going to  __________ (to get rid of something).,3,let it out,give it up,throw it away,take it off,"The phrasal verbs are verbs that consist of a verb and a particle and/or a preposition. Phrasal verbs are typical of spoken English or informal writing, e.g. letters to friends and articles in popular journalism. They cannot be understood based upon the meanings of the individual parts in isolation, thus, their meanings are unpredictable. The phrasal verb 'to throw away' means 'to get rid of something you don't need any more'.",phrasal verbs,1, 108 ,1200 Grammer Tests
