№,Keyword,Suggestion,Short Vietnamese,Keyword_Sound,Image,Transcription,Explanation,Meaning_Sound,Example_Sound,Full Vietnamese,tags,deck
526,earthquake,e__ __ __ __q__ __ __ __,"<span style=""color: rgb(204, 0, 0)"">trận động đất</span>",[sound:4000B1_earthquake.mp3],<img src='4000B1_526.jpg'>,['ɜːθkweɪk],<div>An {{c1::earthquake}} is a shaking movement of the ground.</div>→ &nbsp;The building shook during the {{c1::earthquake}}.,[sound:4000B1_earthquake_meaning.mp3],[sound:4000B1_earthquake_example.mp3],"<div style=""MARGIN: 0px 0px 5px""><i>earthquake /'ə:θkweik/</i><br /> <ul> <li><b><i>danh từ</i></b> <ul> <li><font color=""#cc0000""><b>trận động đất</b></font></li></ul> <ul> <li><font color=""#cc0000""><b>(nghĩa bóng) sự chấn động (xã hội...)</b></font></li></ul></li></ul></div>",,4000 Essential English Words - Book 1::Unit 27
527,effective,__ __f__ __ __ __v__,"<span style=""color: rgb(204, 0, 0)"">có hiệu quả</span>",[sound:4000B1_effective.mp3],<img src='4000B1_527.jpg'>,[ɪ'fektɪv],"<div>If something is {{c1::effective}}, it works well.</div>→ &nbsp;Swimming is an {{c1::effective}} way to stay healthy.",[sound:4000B1_effective_meaning.mp3],[sound:4000B1_effective_example.mp3],"<div style=""WIDTH: 100%; OVERFLOW-X: hidden""> <div style=""COLOR: #808080; MARGIN: 0px 0px 5px; LINE-HEIGHT: normal""><span style=""FONT-SIZE: 10.5pt;COLOR: #000000;LINE-HEIGHT: normal""><b>effective</b></span> &nbsp;</div> <div style=""MARGIN: 0px 0px 5px""><i>effective</i><br /> <ul> <li><font color=""#cc0000""><b>hữu hiệu, có hiệu quả</b></font></li></ul></div></div> <div style=""BORDER-TOP: #c7d4dc 1px solid; PADDING-BOTTOM: 0px; PADDING-TOP: 5px; PADDING-LEFT: 0px; PADDING-RIGHT: 0px""></div> <div style=""MARGIN: 5px 0px""> <div style=""WIDTH: 100%""> <div style=""FLOAT: left; LINE-HEIGHT: normal""><img src=""file:///D:/Softs/lingoes_portable_2.9.1/app_data/dict/image/entry_p.png"" />&nbsp;</div> <div style=""WIDTH: 100%; OVERFLOW-X: hidden""> <div style=""COLOR: #808080; MARGIN: 0px 0px 5px; LINE-HEIGHT: normal""><span style=""FONT-SIZE: 10.5pt; COLOR: #000000; LINE-HEIGHT: normal""><b>Effective</b></span> &nbsp;</div> <div style=""MARGIN: 0px 0px 5px""><i>Effective</i><br /> <ul> <li><font color=""#cc0000""><b>(Econ) Hiệu dụng, hiệu quả.</b></font></li></ul></div></div></div></div>",,4000 Essential English Words - Book 1::Unit 27
528,examine,"__x__ __ __ __ __,&nbsp;<div>__x__ __ __ __ __d</div>","<span style=""color: rgb(204, 0, 0)"">kiểm tra</span>",[sound:4000B1_examine.mp3],<img src='4000B1_528.jpg'>,[ɪg'zæmɪn],<div>To {{c1::examine}} something is to look at it carefully.</div>→ &nbsp;The doctor {{c1::examined}} my eyes today.,[sound:4000B1_examine_meaning.mp3],[sound:4000B1_examine_example.mp3],"<div style=""MARGIN: 0px 0px 5px""><i>examine /ig'zæmin/</i><br /> <ul> <li><b><i>ngoại động từ</i></b> <ul> <li><font color=""#cc0000""><b>khám xét, xem xét, thẩm tra, khảo sát, nghiên cứu</b></font></li></ul> <ul> <li><font color=""#cc0000""><b>hỏi thi, sát hạch (một thí sinh)</b></font></li></ul> <ul> <li><font color=""#cc0000""><b>(pháp lý) thẩm vấn</b></font> <ul></ul></li></ul></li></ul> <ul></ul> <ul> <li><b><i>nội động từ</i></b> <ul> <li><font color=""#cc0000""><b>((thường) + into) thẩm tra, xem xét, khảo sát</b></font></li></ul></li></ul></div>",,4000 Essential English Words - Book 1::Unit 27
529,false,f__ __ __ __,"<span style=""color: rgb(204, 0, 0)"">sai, nhầm</span>",[sound:4000B1_false.mp3],<img src='4000B1_529.jpg'>,[fɔːls],"<div>If something is {{c1::false}}, it is not correct.</div>→ &nbsp;If you think the answer is {{c1::false}}, press the red button.",[sound:4000B1_false_meaning.mp3],[sound:4000B1_false_example.mp3],"<ul> <li><b><i>tính từ</i></b> <ul> <li><font color=""#cc0000""><b>sai, nhầm</b></font> <ul> <li><b>a false idea</b>: ý kiến sai</li> <li><b>a false note</b>: (âm nhạc) nốt sai</li> <li><b>false imprisonment</b>: sự bắt tù trái luật</li></ul></li></ul> <ul> <li><font color=""#cc0000""><b>không thật, giả</b></font> <ul> <li><b>a false mirror</b>: gương không thật</li> <li><b>a false coin</b>: tiền giả</li> <li><b>false hair</b>: tóc giả</li></ul></li></ul> <ul> <li><font color=""#cc0000""><b>dối trá, lừa dối, phản trắc; giả dối</b></font></li></ul> <ul> <li><font color=""#cc0000""><b><i>false alarm</i></b></font> <ul> <li><b>báo động giả; báo động lừa</b></li></ul></li></ul> <ul> <li><font color=""#cc0000""><b><i>false card</i></b></font> <ul> <li><b>quân bài đánh lừa (đánh khác lệ thường nhằm đánh lừa đối phương)</b></li></ul></li></ul> <ul> <li><font color=""#cc0000""><b><i>false position</i></b></font> <ul> <li><b>thế trái cựa</b></li></ul></li></ul> <ul> <li><font color=""#cc0000""><b><i>on (under) false pretences</i></b></font> <ul> <li><b>pretence</b></li></ul></li></ul></li></ul> <ul> <li><b><i>phó từ</i></b> <ul> <li><font color=""#cc0000""><b>dối, lừa</b></font> <ul> <li><b>to play someone false</b>: lừa ai, phản ai</li></ul></li></ul></li></ul>",,4000 Essential English Words - Book 1::Unit 27
530,gift,g__ __ __,"<span style=""color: rgb(204, 0, 0)"">quà tặng; tặng, biếu, cho</span>",[sound:4000B1_gift.mp3],<img src='4000B1_530.jpg'>,[gɪft],<div>A {{c1::gift}} is something you give someone.</div>→ &nbsp;Dave received many {{c1::gift}}s for Christmas.,[sound:4000B1_gift_meaning.mp3],[sound:4000B1_gift_example.mp3],"<div style=""COLOR: #808080; MARGIN: 0px 0px 5px; LINE-HEIGHT: normal""><span style=""FONT-SIZE: 10.5pt;COLOR: #000000;LINE-HEIGHT: normal""><b>gift</b></span> &nbsp;</div> <div style=""MARGIN: 0px 0px 5px""><i>gift /gift/</i><br /> <ul> <li><b><i>danh từ</i></b> <ul> <li><font color=""#cc0000""><b>sự ban cho, sự cho, sự tặng</b></font> <ul> <li><b>I would not take (have) it at a gift</b>: không cho tôi cũng lấy</li></ul></li></ul> <ul> <li><font color=""#cc0000""><b>quà tặng, quà biếu</b></font> <ul> <li><b>birthday gifts</b>: quà tặng vào dịp ngày sinh</li></ul></li></ul> <ul> <li><font color=""#cc0000""><b>tài, thiên tài, năng khiếu</b></font> <ul> <li><b>a gift for poetry</b>: tài làm thơ</li> <li><b>the gift of the gab</b>: tài ăn nói</li></ul></li></ul></li></ul> <ul></ul> <ul> <li><b><i>ngoại động từ</i></b> <ul> <li><font color=""#cc0000""><b>tặng, biếu, cho</b></font></li></ul> <ul> <li><font color=""#cc0000""><b>ban cho, phú cho</b></font></li></ul></li></ul></div>",,4000 Essential English Words - Book 1::Unit 27
531,hunger,h__ __ __ __ __,"<span style=""color: rgb(204, 0, 0)"">sự đói, tình trạng đói</span>",[sound:4000B1_hunger.mp3],<img src='4000B1_531.jpg'>,['hʌŋgə],"<div>{{c1::hunger}} is the feeling that you get when you need to eat.</div>→ &nbsp;After playing all day long, he was filled with {{c1::hunger}}.",[sound:4000B1_hunger_meaning.mp3],[sound:4000B1_hunger_example.mp3],"<ul> <li><b><i>danh từ</i></b> <ul> <li><font color=""#cc0000""><b>sự đói, tình trạng đói</b></font> <ul> <li><b>to die of hunger</b>: chết đói</li> <li><b>to suffer hunger</b>: bị đói</li> <li><b>to feel hunger</b>: cảm thấy đói</li></ul></li></ul> <ul> <li><font color=""#cc0000""><b>(nghĩa bóng) sự ham muốn mãnh liệt, sự khao khát, sự ước mong tha thiết</b></font> <ul> <li><b>a hunger for learning</b>: sự ham học</li></ul></li></ul></li></ul> <ul></ul> <ul> <li><b><i>nội động từ</i></b> <ul> <li><font color=""#cc0000""><b>đói, cảm thấy đói</b></font></li></ul> <ul> <li><font color=""#cc0000""><b>(+ for, after) ham muốn mãnh liệt khát khao, ước mong tha thiết (cái gì)</b></font> <ul> <li><b>to hunger for news</b>: khát khao tin tức</li></ul></li></ul></li></ul> <ul></ul> <ul> <li><b><i>ngoại động từ</i></b> <ul> <li><font color=""#cc0000""><b>làm cho đói, bắt nhịn đói</b></font> <ul> <li><b>to hunger someone out of some place</b>: bắt ai nhịn đói để phải ra khỏi nơi nào</li></ul></li></ul></li></ul>",,4000 Essential English Words - Book 1::Unit 27
532,imagine,"i__ __ __ __ __ __,&nbsp;<div>i__ __ __ __ __ __d</div>","<span style=""color: rgb(204, 0, 0)"">tưởng tượng, hình dung</span>",[sound:4000B1_imagine.mp3],<img src='4000B1_532.jpg'>,[ɪ'mæʤɪn],<div>To {{c1::imagine}} something is to think of it in your mind.</div>→ &nbsp;Sally {{c1::imagined}} herself winning lots of money.,[sound:4000B1_imagine_meaning.mp3],[sound:4000B1_imagine_example.mp3],"<li><b><i>động từ</i></b> <ul> <li><font color=""#cc0000""><b>tưởng tượng, hình dung</b></font></li></ul> <ul> <li><font color=""#cc0000""><b>tưởng rằng, nghĩ rằng, cho rằng</b></font> <ul> <li><b>I imagine him to be a tall stout man</b>: tôi tưởng rằng ông ta la một người cao lớn mập mạp</li></ul></li></ul> <ul> <li><font color=""#cc0000""><b>đoán được</b></font> <ul> <li><b>I can't imagine what he is doing</b>: tôi không thể đoán được anh ta đang làm gì</li></ul></li></ul></li>",,4000 Essential English Words - Book 1::Unit 27
533,journey,j__ __ __ __ __ __,"<div><span style=""color: rgb(204, 0, 0)"">cuộc hành trình, chuyến đi</span></div>",[sound:4000B1_journey.mp3],<img src='4000B1_533.jpg'>,['ʤɜːnɪ],<div>A {{c1::journey}} is a long trip.</div>→ &nbsp;I went on a {{c1::journey}} across the country with my parents.,[sound:4000B1_journey_meaning.mp3],[sound:4000B1_journey_example.mp3],"<ul> <li><b><i>danh từ</i></b> <ul> <li><font color=""#cc0000""><b>cuộc hành trình (thường là bằng đường bộ)</b></font></li></ul> <ul> <li><font color=""#cc0000""><b>chặng đường đi, quâng đường đi (trong một thời gian nhất định)</b></font> <ul> <li><b>to go by easy journeys</b>: đi từng chặng đường ngắn</li> <li><b>a three day's journey</b>: chặng đường đi mất ba ngày; cuộc hành trình ba ngày</li></ul></li></ul></li></ul> <ul></ul> <ul> <li><b><i>nội động từ</i></b> <ul> <li><font color=""#cc0000""><b>làm một cuộc hành trình</b></font></li></ul></li></ul>",,4000 Essential English Words - Book 1::Unit 27
534,puzzle,p__ __z__ __,"<span style=""color: rgb(204, 0, 0)"">trò chơi đố; câu đố, vấn đề khó</span>",[sound:4000B1_puzzle.mp3],<img src='4000B1_534.jpg'>,['pʌzl],<div>A {{c1::puzzle}} is something that is hard to understand.</div>→ &nbsp;The question was a {{c1::puzzle}} to him.,[sound:4000B1_puzzle_meaning.mp3],[sound:4000B1_puzzle_example.mp3],"<ul> <li><b><i>danh từ</i></b> <ul> <li><font color=""#cc0000""><b>sự bối rối, sự khó xử</b></font></li></ul> <ul> <li><font color=""#cc0000""><b>vấn đề khó xử, vấn đề khó giải quyết, vấn đề nan giải</b></font></li></ul> <ul> <li><font color=""#cc0000""><b>trò chơi đố; câu đố</b></font> <ul> <li><b>a Chinese puzzle</b>: câu đố rắc rối; vấn đề rắc rối khó giải quyết</li></ul></li></ul></li></ul> <ul></ul> <ul> <li><b><i>ngoại động từ</i></b> <ul> <li><font color=""#cc0000""><b>làm bối rối, làm khó xử</b></font> <ul> <li><b>to puzzle about (over) a problem</b>: bối rối về một vấn đề, khó xử về một vấn đề</li></ul></li></ul> <ul> <li><font color=""#cc0000""><b><i>to puzzule out</i></b></font> <ul> <li><b>giải đáp được (câu đố, bài toán hắc búa...)</b></li></ul></li></ul></li></ul>",,4000 Essential English Words - Book 1::Unit 27
535,quite,q__ __ __ __,"<span style=""color: rgb(204, 0, 0)"">khá,&nbsp;</span><span style=""color: rgb(204, 0, 0); "">hoàn toàn, hầu hết</span>",[sound:4000B1_quite.mp3],<img src='4000B1_535.jpg'>,[kwaɪt],<div>{{c1::quite}} is used to say that something is complete or very much.</div>→ &nbsp;I think typing on a keyboard is {{c1::quite}} easy.,[sound:4000B1_quite_meaning.mp3],[sound:4000B1_quite_example.mp3],"<div style=""MARGIN: 0px 0px 5px""><i>quite /kwait/</i><br /> <ul> <li><b><i>phó từ</i></b> <ul> <li><font color=""#cc0000""><b>hoàn toàn, hầu hết, đúng là</b></font> <ul> <li><b>quite new</b>: hoàn toàn mới mẻ</li> <li><b>not quite finished</b>: chưa xong hẳn</li> <li><b>quite other</b>: rất khác, khác hẳn</li> <li><b>to be quite a hero</b>: đúng là một anh hùng</li></ul></li></ul> <ul> <li><font color=""#cc0000""><b>khá</b></font> <ul> <li><b>quite a long time</b>: khá lâu</li> <li><b>quite a few</b>: một số kha khá</li></ul></li></ul> <ul> <li><font color=""#cc0000""><b>đúng, đồng ý, phải (trong câu đáp)</b></font> <ul> <li><b>quite so</b>: đúng thế</li> <li><b>yes, quite</b>: phải, đúng đấy</li></ul></li></ul> <ul> <li><font color=""#cc0000""><b><i>he (she) isn't quite</i></b></font> <ul> <li><b>ông ta (bà ta) không phải là người lịch sự</b></li></ul></li></ul></li></ul></div>",,4000 Essential English Words - Book 1::Unit 27
536,rather,r__ __ __ __ __,"<span style=""color: rgb(204, 0, 0)"">thích... hơn&nbsp;</span>",[sound:4000B1_rather.mp3],<img src='4000B1_536.jpg'>,['rɑːðə],<div>{{c1::rather}} is used when you want to do one thing but not the other.</div>→ &nbsp;I would {{c1::rather}} have the red one than the blue one.,[sound:4000B1_rather_meaning.mp3],[sound:4000B1_rather_example.mp3],"<li><b><i>phó từ</i></b> <ul> <li><font color=""#cc0000""><b>thà... hơn, thích... hơn</b></font> <ul> <li><b>we would rather die than be salves</b>: chúng ta thà chết còn hơn làm nô lệ</li> <li><b>which would you rather have, tea or coffee?</b>: anh thích dùng (uống) gì hơn, trà hay cà phê?</li></ul></li></ul> <ul> <li><font color=""#cc0000""><b>đúng hơn, hơn là</b></font> <ul> <li><b>we got home late last night, or rather early this morning</b>: chúng tôi về đến nhà khuya đêm qua, hay đúng hơn sáng sớm hôm nay</li> <li><b>it is derived rather from inagination than reason</b>: điều đó xuất phát từ tưởng tượng hơn là từ lý trí</li></ul></li></ul> <ul> <li><font color=""#cc0000""><b>phần nào, hơi, khá</b></font> <ul> <li><b>the performance was rather a failure</b>: buổi biểu diễn thất bại phần nào</li> <li><b>he felt rather tired at the end of the long climb</b>: sau cuộc trèo núi lâu, anh cảm thấy hơi mệt</li> <li><b>rather pretty</b>: khá đẹp</li></ul></li></ul> <ul> <li><font color=""#cc0000""><b>dĩ nhiên là có; có chứ (nhấn mạnh trong khi trả lời)</b></font> <ul> <li><b>do you know him? - rather!</b>: anh có biết anh đó không? có chứ!</li> <li><b>have you been here before? - rather!</b>: trước đây anh có ở đây không? dĩ nhiên là có!</li></ul></li></ul> <ul> <li><font color=""#cc0000""><b><i>the rather that...</i></b></font> <ul> <li><b>huống hồ là vì...</b></li></ul></li></ul></li>",,4000 Essential English Words - Book 1::Unit 27
537,specific,s__ __ __ __f__ __,"<span style=""color: rgb(204, 0, 0)"">rành mạch, rõ ràng</span>",[sound:4000B1_specific.mp3],<img src='4000B1_537.jpg'>,[spə'sɪfɪk],"<div>&nbsp;something is {{c1::specific}}, it is precise or exact.</div>→ &nbsp;Please choose a {{c1::specific}} place on the map.",[sound:4000B1_specific_meaning.mp3],[sound:4000B1_specific_example.mp3],"<div style=""MARGIN: 0px 0px 5px""><i>specific /spi'sifik/</i><br /> <ul> <li><b><i>tính từ</i></b> <ul> <li><font color=""#cc0000""><b>dứt khoát, rành mạch, rõ ràng</b></font> <ul> <li><b>a specific statement</b>: lời tuyên bố dứt khoát</li> <li><b>for no specific reason</b>: không có lý do gì rõ ràng</li></ul></li></ul> <ul> <li><font color=""#cc0000""><b>(thuộc) loài</b></font> <ul> <li><b>the specific name of a plant</b>: (sinh vật học) tên loài của một cây</li></ul></li></ul> <ul> <li><font color=""#cc0000""><b>đặc trưng, riêng biệt</b></font> <ul> <li><b>a style specific to that school of painters</b>: một phong cách đặc trưng cho trường phái hoạ sĩ ấy</li></ul></li></ul> <ul> <li><font color=""#cc0000""><b>theo trọng lượng, theo số lượng (thuế hải quan)</b></font></li></ul> <ul> <li><font color=""#cc0000""><b>(vật lý) riêng</b></font> <ul> <li><b>specific weight (gravity)</b>: trọng lượng riêng, tỷ trọng</li></ul></li></ul></li></ul> <ul></ul> <ul> <li><b><i>danh từ</i></b> <ul> <li><font color=""#cc0000""><b>(y học) thuốc đặc trị</b></font></li></ul></li></ul></div>",,4000 Essential English Words - Book 1::Unit 27
538,tour,__ __ __r,"<span style=""color: rgb(204, 0, 0)"">cuộc đi du lịch</span>",[sound:4000B1_tour.mp3],<img src='4000B1_538.jpg'>,[tuə],<div>A {{c1::tour}} is a short trip in which you see many sights.</div>→ &nbsp;I took a {{c1::tour}} of Asia and Europe.,[sound:4000B1_tour_meaning.mp3],[sound:4000B1_tour_example.mp3],"<div style=""MARGIN: 0px 0px 5px""><i>tour /tuə/</i><br /> <ul> <li><b><i>danh từ</i></b> <ul> <li><font color=""#cc0000""><b>cuộc đi, cuộc đi du lịch</b></font> <ul> <li><b>a tour round the world</b>: cuộc đi vòng quanh thế giới</li></ul></li></ul> <ul> <li><font color=""#cc0000""><b>cuộc đi chơi, cuộc đi dạo</b></font> <ul> <li><b>to go for a tour round the town</b>: đi dạo chơi thăm thành phố</li></ul></li></ul> <ul> <li><font color=""#cc0000""><b>cuộc kinh lý</b></font> <ul> <li><b>tour of inspection</b>: cuộc đi kinh lý kiểm tra</li> <li><b>theatrical tour</b>: cuộc đi biểu diễn ở nhiều nơi</li></ul></li></ul></li></ul> <ul></ul> <ul> <li><b><i>ngoại động từ</i></b> <ul> <li><font color=""#cc0000""><b>đi, đi du lịch</b></font></li></ul></li></ul></div>",,4000 Essential English Words - Book 1::Unit 27
